hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-old-sg-ar01,incoming_acl,Extended,10,permit,udp,any,any,bootpc
uk-old-sg-ar01,incoming_acl,Extended,20,permit,tcp,213.120.94.16 0.0.0.15,any,
uk-old-sg-ar01,incoming_acl,Extended,30,permit,tcp,194.73.173.0 0.0.0.255,any,
uk-old-sg-ar01,incoming_acl,Extended,40,permit,icmp,any,any,
uk-old-sg-ar01,incoming_acl,Extended,50,permit,icmp,213.120.94.16 0.0.0.15,any,
uk-old-sg-ar01,incoming_acl,Extended,60,permit,icmp,194.73.173.0 0.0.0.255,any,
uk-old-sg-ar01,incoming_acl,Extended,70,permit,icmp,any,137.0.0 0.0.0.255,
uk-old-sg-ar01,incoming_acl,Extended,80,permit,icmp,any,137.0.0 0.0.0.255,
uk-old-sg-ar01,incoming_acl,Extended,90,permit,udp,host 141.138.128.105,any,isakmp
uk-old-sg-ar01,incoming_acl,Extended,100,permit,udp,host 141.138.128.106,any,isakmp
uk-old-sg-ar01,incoming_acl,Extended,110,permit,udp,host 141.138.129.105,any,isakmp
uk-old-sg-ar01,incoming_acl,Extended,120,permit,gre,host 141.138.128.105,any,
uk-old-sg-ar01,incoming_acl,Extended,130,permit,gre,host 141.138.128.106,any,
uk-old-sg-ar01,incoming_acl,Extended,140,permit,gre,host 141.138.129.105,any,
uk-old-sg-ar01,incoming_acl,Extended,150,permit,udp,host 141.138.128.105,any,non500-isakmp
uk-old-sg-ar01,incoming_acl,Extended,160,permit,udp,host 141.138.128.106,any,non500-isakmp
uk-old-sg-ar01,incoming_acl,Extended,170,permit,udp,host 141.138.129.105,any,non500-isakmp
uk-old-sg-ar01,incoming_acl,Extended,180,permit,ip,10.0.0.0 0.255.255.255,any,
uk-old-sg-ar01,incoming_acl,Extended,190,permit,ip,141.138.128.0 0.0.15.255,any,
uk-old-sg-ar01,incoming_acl,Extended,200,permit,ip,172.16.208.0 0.0.0.255,any,
uk-old-sg-ar01,incoming_acl,Extended,210,permit,ip,192.168.3.0 0.0.0.255,any,
uk-old-sg-ar01,1,Standard,10,permit,,10.1.22.0 0.0.0.255,,,
uk-old-sg-ar01,1,Standard,20,permit,,10.1.52.192 0.0.0.15,,,
uk-old-sg-ar01,1,Standard,30,permit,,10.1.82.64 0.0.0.31,,,
uk-old-sg-ar01,1,Standard,40,permit,,172.16.41.208 0.0.0.15,,,
uk-old-sg-ar01,1,Standard,50,permit,,213.120.94.16 0.0.0.15,,,
uk-old-sg-ar01,1,Standard,60,permit,,194.73.173.0 0.0.0.255,,,
uk-old-sg-ar01,1,Standard,70,permit,,172.16.5.0 0.0.0.255,,,
uk-old-sg-ar01,1,Standard,80,permit,,172.16.6.0 0.0.0.255,,,
uk-old-sg-ar01,1,Standard,90,permit,,141.138.128.0 0.0.15.255,,,
uk-old-sg-ar01,1,Standard,100,permit,,172.16.208.0 0.0.0.31,,,
uk-old-sg-ar01,1,Standard,110,permit,,192.168.3.0 0.0.0.255,,,
uk-old-sg-ar01,1,Standard,120,permit,,10.0.0.0 0.255.255.255,,,
uk-old-sg-ar01,1,Standard,130,permit,,100.79.0.0 0.0.127.255,,,
uk-old-sg-ar01,10,Standard,10,permit,,10.120.163.210,,,
uk-old-sg-ar01,10,Standard,20,permit,,10.120.163.59,,,
uk-old-sg-ar01,10,Standard,30,deny,,any log,,,
uk-old-sg-ar01,11,Standard,10,permit,,10.120.136.140,,,
uk-old-sg-ar01,11,Standard,20,permit,,10.120.136.141,,,
uk-old-sg-ar01,11,Standard,30,permit,,10.120.163.59,,,
uk-old-sg-ar01,11,Standard,40,deny,,any log,,,
uk-old-sg-ar01,23,Standard,10,permit,,10.10.10.0 0.0.0.127,,,
